freq_hz,vrms,pkpk,thd_percent
20.0,1.750031612215033,4.9382736403403396,0.6128200439858132
23.09564,1.8709210181222056,5.279687484471198,0.6123685857361465
26.670429,1.9800436750753276,5.587920755682715,0.6122861743446648
30.798531,2.075676675859858,5.857066111574057,0.6117989097108388
35.565588,2.157233077065875,6.087627738331924,0.6112428012649113
41.070501,2.2251255199568414,6.2791336660318,0.6108160778339837
47.427474,2.2804727691883397,6.435213493558191,0.6099317759978234
54.768393,2.324801662057723,6.559949772304389,0.6093835251905021
63.245553,2.359758227066332,6.658637696080989,0.6086279617950298
73.034825,2.3870576989313075,6.735840278140909,0.60756339219368
84.339301,2.408194580839199,6.795054943606074,0.6062890434744918
97.393505,2.4243484795692813,6.841376084522698,0.605284270112373
112.468265,2.4367048231583612,6.875699019765795,0.6035405632340941
129.876326,2.4461276864175687,6.902488528831045,0.6021602118749827
149.978842,2.4532195573896254,6.922595647117256,0.6000997407057203
173.192865,2.458623944168314,6.937510317115212,0.5976737748640659
200.0,2.4626389262521657,6.949126021425158,0.5953909560908793
230.956397,2.465828786029953,6.957813520345157,0.5924834023199667
266.704286,2.468023385349727,6.964595519718681,0.5893505769152313
307.985305,2.4697313164510937,6.969256421246412,0.5852858150455572
355.655882,2.471207954873998,6.97328126462947,0.5820593552475362
410.705005,2.4722358365534762,6.976183002109185,0.5770572195749049
474.274741,2.4729219601316745,6.977984745945294,0.5713404874376513
547.683927,2.473434255445673,6.979458451026605,0.5657512072200613
632.455532,2.4740872838944177,6.9812228959895375,0.5589095380082695
730.348255,2.4744082440749473,6.98178163253107,0.552878772026437
843.393007,2.474209214558123,6.98234148537141,0.5454082436803749
973.93505,2.474394944669832,6.983274524159894,0.5367423714931421
1124.68265,2.474506152434867,6.984140139661483,0.5283969855105566
1298.763263,2.474578758245117,6.98480978948615,0.5187912409413858
1499.788419,2.4746895847919945,6.984650934526783,0.5103494306308131
1731.928647,2.474708612198806,6.985325964026384,0.5001580126640761
2000.0,2.474697176477164,6.986128141788065,0.4902441348192491
2309.563969,2.47469256844974,6.98627300022228,0.4806523891026324
2667.042864,2.4746106752675057,6.9867685865424,0.47264219730370083
3079.853052,2.4744580198942026,6.986470980448812,0.4658279757644025
3556.55882,2.474138475663568,6.9852880721088315,0.45821827452165187
4107.050053,2.473625705369074,6.9838210330581525,0.45557559695262106
4742.747411,2.472639156572029,6.9813511560695805,0.4524242913376087
5476.839269,2.470908844724982,6.976131322830131,0.451593027288646
6324.55532,2.467824839029038,6.967633531747747,0.45442129937863757
7303.482545,2.4623944319862665,6.9520879529324935,0.4580840015073773
8433.930069,2.4527973957031852,6.9251888468980605,0.4654972342635085
9739.350503,2.4360395149380074,6.876960996618061,0.475119582108666
11246.826504,2.407045495024703,6.794925771368243,0.4858570477264793
12987.632632,2.357909293859155,6.655665055317906,0.499614525956035
14997.884187,2.277553097309455,6.42853769097513,0.5164384741760328
17319.286467,2.152886839573863,6.075495249275505,0.5368588080910313
20000.0,1.974084653853951,5.570998186310109,0.5590619716675715
